Agency,Subagency,B) Year Established,C1) Funding FY2008,C2) Funding FY2009,C3) Funding FY2010,D) Mission-specific or General STEM?,E) Agency or Mission-Related Workforce Needs?,F1) Primary Investment Objective,I1) STEM Learners Targeted? Specify.,I1) STEM Learners Targeted? Specify. 5,I1) STEM Learners Targeted? Specify. 6,J) Focus on Underrepresented Groups in STEM,K) Eligibility Restrictions,L) Minority Serving Institutions,M) Geographic Region,M) Geographic Region 1,N) STEM Discipline Focus 12,Q) Legislation Required to Shift Focus?,S) Investment Partnerships,U) Measured Outputs,V) Outcomes Measured,X) Evaluated Since 2005?,Growth,target
NASA,Science Mission Directorate (SMD),2002.0,0.986,0.772,0.8059999999999999,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,r,,No,Encouraged,Number of learners (any age) served,,YES,-21.7038539554,0
NASA,Science Mission Directorate (SMD),2003.0,1.2,1.0,1.3,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,r,21st C Skills,No,Encouraged,Number of learners (any age) served,,YES,-16.6666666667,0
NASA,Science Mission Directorate (SMD),2003.0,0.0,4.396,3.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,100.0,1
NASA,Education Office,1997.0,1.624,1.6780000000000002,1.585,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,Yes,,,"NASA-relevant fields/jobs in Earth and Space Science, engineering, technology 
and all related fields.",No,,Number of learners (any age) served,,,3.32512315271,1
NASA,Center JPL,1983.0,0.32899999999999996,0.287,0.315,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,Aerospace,No,,Number of learners (any age) served,none,,-12.7659574468,0
NASA,Education Office,2003.0,8.089,4.3069999999999995,4.9910000000000005,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,"Although NASA content primarily focuses on science and engineering, NES leverages content that can be integrated across the STEM curriculum.",No,Mixed,Number of learners (any age) served,,YES,-46.7548522685,0
NASA,Education Office,2008.0,2.4,3.0,3.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,25.0,1
NASA,Education Office,2008.0,7.0,10.0,10.0,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,No,No,,,YES,42.8571428571,1
NASA,Education Office,2010.0,0.0,0.0,0.387,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,Yes,No,National scope or not targeted to a geographic region,x,,No,Required,Number of educators served,,YES,0.0,1
NASA,Science Mission Directorate (SMD),2010.0,0.0,0.92375,0.88549,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Required,Number of educators served,,YES,100.0,1
NASA,Science Mission Directorate (SMD),2008.0,0.7852899999999999,4.5799,6.91373,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,Yes,Yes,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,NONE,YES,483.211297737,1
NASA,Science Mission Directorate (SMD),2009.0,0.0,0.4758,0.4301,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,r,,No,No,Number of learners (any age) served,NONE,YES,100.0,1
NASA,Education Office,2008.0,2.85,3.42,2.52,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,No,Required,Number of learners (any age) served,,YES,20.0,1
NASA,Center GRC,1990.0,0.758456,0.966218,0.9,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"In-Space Propulsion and Cryogenic Fluid Management
Physical Sciences and Biomedical Technologies in Space
Materials and Structures for Extreme Environments
Air Breathing Propulsion
Power Energy Storage and Conversion
Communications Technology and Development",No,,,,,27.3927558092,1
NASA,Education Office,1994.0,1.5,1.8,1.7,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,No,No,,,Engineering and systems engineering,No,,Number of learners (any age) served,,,20.0,1
NASA,Science Mission Directorate (SMD),2009.0,0.0,0.75729,0.871316,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,No,Yes,No,National scope or not targeted to a geographic region,x,,No,Required,Number of educators served,,YES,100.0,1
NASA,Center LaRC,1986.0,1.0,1.1,1.3,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,engineers and scientists,No,,Number of learners (any age) served,none,,10.0,1
NASA,Center GRC,2006.0,1.9,1.9,2.4,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,No,,,"STEM disciplines directly related to NASA's mission i.e 
1. Computer Engineering
2. Computer Science
3. Software Engineering
4. Mechanical Engineering
5. Chemical Engineering
6. Electrical Engineering
7. Nuclear Engineering
8. Aeronautical Engineering
9. Aerospace Engineering
10. Astrophysics
11. Geospatial Technology
12. Environmental Science
13. Earth and Planetary Science
14. Physics
15. Chemistry
16. Mathematics",Yes,,Number of learners (any age) served,,,0.0,1
NASA,Center JSC,1994.0,1.16,1.15,1.3,Agency Mission Workforce,Agency workforce,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,No,,,"Jobs in the aerospace community relating to engineering, mathematics, business 
and science.",No,,Number of learners (any age) served,,,-0.862068965517,0
Defense,,1958.0,7.439,7.86,7.742000000000001,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,Yes,No,National scope or not targeted to a geographic region,r,,No,Required,Number of learners (any age) served,,YES,5.65936281758,1
Defense,,2005.0,1.5,1.5,1.5,Agency Mission Workforce,Mission-related,STEM Careers,,,,Yes,Yes,Yes,,,Physical sciences and engineering.,No,,Number of learners (any age) served,,,0.0,1
Defense,,2010.0,0.0,0.0,1.1159999999999999,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,Yes,No,No,,n,,No,Encouraged,Number of learners (any age) served,,YES,0.0,1
Defense,,1982.0,0.268,0.308,0.701,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,NONE,NO,14.925373134300001,1
Defense,,2007.0,0.45,0.75,0.9,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,Yes,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,66.6666666667,1
Defense,,2002.0,1.2,1.2,1.9,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"Engineering and Science related positions that support Navy technology areas of 
interest.",Don't know,,Number of learners (any age) served,none,,0.0,1
Defense,,1976.0,0.506,0.528,0.447,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,No,,,,"Emerging Infectious Diseases
Molecular & Cellular Biology
Neuroscience",No,,Number of learners (any age) served,none,,4.34782608696,1
Defense,,1993.0,20.0,19.0,20.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,Yes,No,No,National scope or not targeted to a geographic region,x,"STEM Careers, Teamwork",,Encouraged,Number of learners (any age) served,,YES,-5.0,0
Defense,,1999.0,1.5,1.6,1.6,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",,,,No,Yes,,,,Aerospace-related fields of science and engineering.,Yes,,Number of learners (any age) served,,,6.666666666669999,1
Defense,,2006.0,1.0,15.0,14.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,r,"Social sciences, including psychology, sociology, anthropology, cognitive 
science, economics, and behavioral sciences",Yes,Encouraged,Number of learners (any age) served,NONE,YES,1400.0,1
Defense,,2005.0,19.0,33.0,47.0,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"Aeronautical and Astronautical Engineering
Biosciences
Chemical Engineering
Chemistry
Civil Engineering
Cognitive, Neural, and Behavioral Sciences
Computer and Computational Sciences
Electrical Engineering 
Geosciences 
Industrial and Systems Engineering
Information Sciences
Materials Science and Engineering
Mathematics
Mechanical Engineering
Naval Architecture and Ocean Engineering 
Nuclear Engineering 
Oceanography 
Operations Research 
Physics",Yes,,,,,73.6842105263,1
Defense,,2002.0,2.6,2.3,2.35,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Electrical Engineering
Information Science
Physics
Mathematics
Chemistry
Ocean Engineering
Mechanical Engineering",Yes,,Number of learners (any age) served,,,-11.538461538499998,0
Defense,,1985.0,1.839,1.858,1.982,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,Yes,Encouraged,Number of learners (any age) served,,YES,1.0331702012000001,1
Defense,,1989.0,33.094396,36.341673,36.814102,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Aeronautical and Astronautical Engineering 
Biosciences 
Chemical Engineering 
Chemistry 
Civil Engineering 
Cognitive, Neural, and Behavioral Sciences 
Computer and Computational Sciences 
Electrical Engineering 
Geosciences 
Materials Science and Engineering 
Mathematics 
Mechanical Engineering 
Naval Architecture and Ocean Engineering 
Oceanography 
Physics",Yes,,,none,,9.81216578178,1
Defense,,,4.5,4.5,4.5,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,No,No,,,,"Aerospace and Astronautical Engineering
Mathematics 
Electrical Engineering 
Physics 
Materials Science and Engineering 
Social Sciences
Earth, atmospheric, and ocean sciences
Biological sciences
Mechanical Engineering 
Mathematics 
Chemistry 
Computer and Computational Sciences",No,,,none,,0.0,1
Environmental Protection Agency,Office Research and Development (ORD),2006.0,2.0,1.5,1.5,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Toxicology
Neurotoxicology
Pulmonary Toxicology
Developmental Toxicology
Reproductive Toxicology
Immunotoxicology
Computational Toxicology
Pharmacokinetics
Carcinogenesis
Environmental Epidemiology
Biostatistics/Modeling
Sustainability and Systems Thinking
Risk and Exposure Assessment
Emissions Estimation
Life Cycle Analyses
Risk Management and Mitigation",No,,,none,,-25.0,0
Environmental Protection Agency,Office Research and Development (ORD),1982.0,0.6,1.3,1.5,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,Any environmentally-related field,No,,Number of learners (any age) served,,,116.666666667,1
Environmental Protection Agency,Office of Environmental Education,1986.0,0.0,0.316085,0.394403,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"environmental science, environmetnal engineering, public health, computers",No,,,,,100.0,1
Environmental Protection Agency,Office Research and Development (ORD),2004.0,1.3,1.2,2.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,NONE,YES,-7.692307692310001,0
Environmental Protection Agency,National Center for Environmental Research (NCER),1995.0,8.223798,4.239364,6.38783,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,Any environmentally-related field,No,,Number of learners (any age) served,,,-48.4500470464,0
Environmental Protection Agency,Office Research and Development (ORD),1998.0,0.6,0.6,0.6,Agency Mission Workforce,Agency workforce,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"Physical and biologial science, engineering",No,,Number of learners (any age) served,,,0.0,1
Environmental Protection Agency,Office of Environmental Education,1992.0,3.4,3.4,3.4,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,Yes,Encouraged,,NONE,YES,0.0,1
Environmental Protection Agency,Office of Environmental Education,1992.0,2.0,2.0,2.2,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,Yes,No,National scope or not targeted to a geographic region,x,,Yes,Mixed,,NONE,NO,0.0,1
Energy,Office of Nuclear Energy (NE),2009.0,0.0,5.0,5.0,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"undergraduate and graduate-level education in nuclear science and engineering 
fields such as nuclear engineering, mechanical engineering, electrical 
engineering, chemistry, health physics, nuclear materials science, 
radiochemistry, applied nuclear physics, and nuclear policy at universities and 
colleges located in the United States (U.S.). Two-year programs that lead to a 
certificate or minor are also included, such as nuclear power technology, 
nuclear maintenance technology, nuclear engineering technology, and radiation 
protection technology.",Yes,,Number of learners (any age) served,none,,100.0,1
Energy,Office of Economic Impact and Diversity,2005.0,0.55,0.6629999999999999,0.84,Agency Mission Workforce,Mission-related,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,Energy related STEM disciplines,No,,Number of learners (any age) served,,,20.5454545455,1
Energy,Office of Fossil Energy,,0.0,0.7,0.7,Agency Mission Workforce,Agency workforce,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,Engineering (no specific subject or field required),No,,Number of learners (any age) served,,,100.0,1
Energy,Office of Fossil Energy,,0.0,0.478,0.5,Agency Mission Workforce,Mission-related,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,"Science-Physical Sciences ( including physics, chemistry, astromony, material 
science)
Science- Environmental Science
Technology (no specific field required)
Engineering (no specific field required)
Mathematics or statistics",Don't know,,,none,,100.0,1
Energy,"Office of Energy Efficiency and Renewable Energy, Vehicle Technologies",1988.0,1.3869999999999998,1.75,2.0,General STEM,,STEM Careers,Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,26.171593367,1
Energy,"Office of Energy Efficiency and Renewable Energy, Vehicle Technologies",1998.0,0.496,0.95,1.0,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"automotive engineers, scientists for advanced automotive technologies.",Don't know,,Number of learners (any age) served,none,,91.53225806450001,1
Energy,"Office of Energy Efficiency and Renewable Energy, Building Technologies",2001.0,2.3,6.4,5.0,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"The residential and commercial building industry, the solar industry, and green 
jobs.",No,,Number of learners (any age) served,none,,178.260869565,1
Energy,"Office of Energy Efficiency and Renewable Energy, Industrial Technologies",1978.0,3.4,3.3,6.1,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"Engineering
Energy
Manufacturing",No,,Number of learners (any age) served,,,-2.9411764705900003,0
Energy,"Office of Energy Efficiency and Renewable Energy, Solar",1995.0,0.0,0.0,0.5918800000000001,Agency Mission Workforce,Mission-related,STEM Careers,,,,Yes,No,Yes,,,Fields related to solar energy technologies,No,,Number of learners (any age) served,,,0.0,1
Energy,Office of Environmental Management,2010.0,0.0,0.0,8.967507000000001,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,No,Yes,,,"The Science, Engineering, Math, and Technology careers needed for the safe 
clean up of nuclear weapons development, production and Government-sponsored 
nuclear energy research.",No,,Number of learners (any age) served,none,,0.0,1
Energy,"Office of Science, Office of Fusion Energy Sciences",1998.0,0.7340000000000001,0.774,0.774,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,Undergraduate (13-16),Graduate (17-20),No,No,no,national scope or not targeted to a geographic region,x,"Physics, engineering, computer sciences related to fusion energy and plasma 
sciences.",No,No,Number of learners (any age) served,,YES,5.449591280650001,1
Energy,"Office of Science, Office of Fusion Energy Sciences",1993.0,0.37,0.37,0.37,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),,No,No,,,,"Physics, engineering, computer sciences related to fusion energy and plasma 
sciences.",No,,Number of learners (any age) served,,,0.0,1
Energy,"Office of Science, Office of Fusion Energy Sciences",1985.0,0.75,0.8,0.7,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,No,,,,"Physics, engineering, computer sciences related to fusion energy and plasma 
science.",Yes,,Number of learners (any age) served,none,,6.666666666669999,1
Energy,"Office of Science, Office of Fusion Energy Sciences",1999.0,1.472,1.422,1.422,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"Careers at universities and DOE national laboratories in  Climate Change 
Research.",Yes,,,none,,-3.39673913043,0
Energy,"Office of Science, Office of Fusion Energy Sciences",1984.0,0.516752,0.530889,0.546813,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,Radiochemistry and nuclear chemistry.,No,,Number of learners (any age) served,none,,2.73574170976,1
Energy,"Office of Science, Office of Fusion Energy Sciences",1991.0,6.8,6.8,7.8,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Computational Science which includes studies in applied mathematics and 
computer science together with a domain science such as biological sciences, 
chemistry, engineering, physics or earth, atmospheric and ocean sciences",Yes,,Number of learners (any age) served,,,0.0,1
Energy,"Office of Science, Office of Fusion Energy Sciences",1998.0,0.75,0.75,0.75,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,"In order to improve high school physics classes, high school physics teachers 
actually do real high energy physics data analysis.",Yes,No,Number of learners (any age) served,NONE,NO,0.0,1
Energy,"Office of Science, Office of Workforce Development for Teachers and Scientists",2004.0,1.849,3.7680000000000002,3.7216,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,Yes,no,National scope or not targeted to a geographic region,x,Computational science,Yes,No,Number of educators served,,YES,103.785830178,1
Energy,"Office of Science, Office of Workforce Development for Teachers and Scientists",2002.0,0.25,1.5419999999999998,1.0190000000000001,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,Yes,,,"Jobs at universities or the DOE national laboratories in fields in basic 
science and engineering related to DOE Office of Science mission areas.",Yes,,Number of learners (any age) served,none,,516.8,1
Energy,"Office of Science, Office of Workforce Development for Teachers and Scientists",2010.0,0.0,0.0,5.0,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Jobs at universities and DOE national laboratories in fields in basic science 
and engineering related to DOE Office Science mission areas.",Yes,,Number of learners (any age) served,none,,0.0,1
Energy,"Office of Science, Office of Workforce Development for Teachers and Scientists",1991.0,1.67,1.7630000000000001,2.449,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,Yes,No,Number of learners (any age) served,,YES,5.56886227545,1
Energy,"Office of Science, Office of Workforce Development for Teachers and Scientists",2001.0,0.188,0.21,0.429,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,Yes,no,National scope or not targeted to a geographic region,x,"The development of STEM educators who can effectively teach fields in basic 
science and engineering important to DOE Office of Science mission areas.",Yes,No,Number of learners (any age) served,,YES,11.7021276596,1
Energy,"Office of Science, Office of Workforce Development for Teachers and Scientists",2004.0,2.583,2.497,3.802,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,"Jobs in fields in basic science and engineering related to DOE Office of 
Science mission areas.",Yes,,Number of learners (any age) served,none,,-3.3294618660500004,0
Energy,"Office of Science, Office of Workforce Development for Teachers and Scientists",1999.0,0.319,0.292,0.685,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,"Jobs in technical areas associated with the fields in basic science and 
engineering research carried out at the DOE National Laboratories.",Yes,,Number of learners (any age) served,none,,-8.463949843260002,0
Education,Institute of Education Sciences (IES),2003.0,76.295,52.216,63.81399999999999,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,,,,No,No,No,National scope or not targeted to a geographic region,x,,Yes,No,,,YES,-31.5603905892,0
Education,Institute of Education Sciences (IES),2005.0,2.453296,10.67056,14.643725,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,,,,Yes,No,No,National scope or not targeted to a geographic region,x,,Yes,No,,NONE,YES,334.947923121,1
Education,Institute of Education Sciences (IES),2007.0,6.4544,5.136896,6.1494,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,,,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,,,YES,-20.4124938027,0
Education,Office of Elementary and Secondary Education (OESE),2002.0,179.0,179.0,180.5,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,Yes,No,No,National scope or not targeted to a geographic region,x,,Yes,Required,Number of learners (any age) served,,YES,0.0,1
Education,Office of Innovation and Improvement (OII),2010.0,0.0,0.0,110.5,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,Pre-K-20 learners,,,Yes,No,No,National scope or not targeted to a geographic region,x,,No,Required,Number of learners (any age) served,,YES,0.0,1
Education,Office of Postsecondary Education (OPE),2008.0,1.0,1.0,1.0,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Required,Number of educators served,,YES,0.0,1
Education,Office of Postsecondary Education (OPE),2008.0,1.0,1.0,1.0,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,No,Required,Number of educators served,,YES,0.0,1
